,Unnamed: 0,samples,nm_class,slices,fold
41,2,07b5141f-ac79-439b-883b-b0183bbe7ff5.csv,Breast-AdenoCA,7,1
42,3,097a7d36-905b-72be-e050-11ac0d482c9a.csv,Breast-AdenoCA,8,1
43,4,110b5f05-ded7-45ec-b0f6-a941c92d77dd.csv,Breast-AdenoCA,9,1
44,5,13c312ec-0add-4758-ab8d-c193e2e08c6d.csv,Breast-AdenoCA,10,1
45,7,15f90ef0-831b-40a3-98bd-ec226a9e8b26.csv,Breast-AdenoCA,2,1
46,8,1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa.csv,Breast-AdenoCA,3,1
47,9,1c0e384f-7254-4afe-93c0-b3fc6c6a7894.csv,Breast-AdenoCA,4,1
48,10,1eb62abc-7928-405b-84cc-f091ca5347b2.csv,Breast-AdenoCA,5,1
49,11,207f8a42-5b05-4876-b0ae-ebfaeea27844.csv,Breast-AdenoCA,6,1
50,12,2290b078-6a5b-4c83-9dfb-b525bbf14e4e.csv,Breast-AdenoCA,7,1
51,13,25c76a8f-77c0-4650-bddf-45ed0c10a2e6.csv,Breast-AdenoCA,8,1
52,14,25e4cad7-2403-4992-9cbc-433574673549.csv,Breast-AdenoCA,9,1
53,15,27f87d1e-2c32-4beb-9677-62f7a286673d.csv,Breast-AdenoCA,10,1
54,17,2c6f1862-bb82-4e7e-9cb3-338bdf022ff4.csv,Breast-AdenoCA,2,1
55,18,2da2b745-068d-408c-9163-3b3a78d4aaed.csv,Breast-AdenoCA,3,1
56,19,30dbe353-86d5-40ed-84c2-dbddf7beb17b.csv,Breast-AdenoCA,4,1
57,20,3585e133-b3c1-4d90-b5f2-2b867e0ae0ec.csv,Breast-AdenoCA,5,1
58,21,36d1a85e-a09b-4537-86e0-eaf1eb03aed8.csv,Breast-AdenoCA,6,1
59,22,418e916b-7a4e-4fab-8616-15dcec4d79f8.csv,Breast-AdenoCA,7,1
60,23,41f140b8-72b9-4ae3-8b25-6144d9f94d0f.csv,Breast-AdenoCA,8,1
61,24,43f7a2e0-fec9-4e43-872d-18c6c946fa17.csv,Breast-AdenoCA,9,1
62,25,467ef778-f481-44f3-9768-b9900252d2ba.csv,Breast-AdenoCA,10,1
63,27,4d409156-3a36-4c63-9ad6-b6af34f27b06.csv,Breast-AdenoCA,2,1
64,28,4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9.csv,Breast-AdenoCA,3,1
65,29,546b982f-60d9-43df-9761-09369afbee2d.csv,Breast-AdenoCA,4,1
66,30,5a535c49-d42e-43c6-9d32-dc76f28d4f0f.csv,Breast-AdenoCA,5,1
67,31,5b7d5767-2037-4175-aec9-886776343181.csv,Breast-AdenoCA,6,1
68,32,5dbf3203-ce73-41e4-bf9a-32fc856f73f5.csv,Breast-AdenoCA,7,1
69,33,6764e0a2-7a78-45c1-9189-6001c6518ce4.csv,Breast-AdenoCA,8,1
70,34,6c65cb6d-8c50-4c7c-bc84-eeebe09fbe01.csv,Breast-AdenoCA,9,1
71,35,6c8e9197-fd16-4fed-bfda-e349cab26314.csv,Breast-AdenoCA,10,1
72,37,6e839eaf-1dbb-43f5-8846-c980e05540c7.csv,Breast-AdenoCA,2,1
73,38,71fda5a9-7049-406f-9348-2c24f7ddf5f4.csv,Breast-AdenoCA,3,1
74,39,73936e8b-c893-4afd-bd1f-be90c06a4869.csv,Breast-AdenoCA,4,1
75,40,74039acd-5aca-4c65-818c-3b577d295be0.csv,Breast-AdenoCA,5,1
76,41,7456abd5-303e-4e6f-bf4e-47efefc7310f.csv,Breast-AdenoCA,6,1
77,42,74b57d2c-a83f-4798-b86b-a533975e4cc0.csv,Breast-AdenoCA,7,1
78,43,7b08e810-f3c9-4155-ac11-f45a3a4f8b41.csv,Breast-AdenoCA,8,1
79,44,84c77098-03d0-4b22-afb1-797703e85c6c.csv,Breast-AdenoCA,9,1
80,45,8691c87f-2468-44bb-a670-3dccd6da33c6.csv,Breast-AdenoCA,10,1
81,47,8f558713-f32b-403b-aedf-c79efeb41c67.csv,Breast-AdenoCA,2,1
82,48,9032b7fe-e38a-4641-a45e-67041668adc4.csv,Breast-AdenoCA,3,1
83,49,97064332-1d4f-4571-93ff-354ffe6d7df9.csv,Breast-AdenoCA,4,1
84,50,987528ac-437a-4eb8-a335-4f2076d5c006.csv,Breast-AdenoCA,5,1
85,51,987d41ee-6bab-490c-b0f2-bf28c0089de9.csv,Breast-AdenoCA,6,1
86,52,9c70688d-6e43-4520-9262-eaae4e4d597d.csv,Breast-AdenoCA,7,1
87,53,9ddf2119-a222-4fa5-a9f3-0bec7eeea36b.csv,Breast-AdenoCA,8,1
88,54,a6c14ebc-81a2-44f7-af87-2b7ec85e5696.csv,Breast-AdenoCA,9,1
89,55,a85cf239-ff51-46e7-9b88-4c2cb49c66b9.csv,Breast-AdenoCA,10,1
90,57,aa58c09a-7799-4675-8310-d270224b163e.csv,Breast-AdenoCA,2,1
91,58,aacaba97-ecde-440b-aae0-0e9c608c4b24.csv,Breast-AdenoCA,3,1
92,59,b27d75ba-5989-4200-bfe9-f1b7d7cf8008.csv,Breast-AdenoCA,4,1
93,60,b752b444-f033-4be4-9d24-e5e80b4181af.csv,Breast-AdenoCA,5,1
94,61,c61ded54-f80e-4da8-b1d8-e22551c96118.csv,Breast-AdenoCA,6,1
95,62,c67409b2-ac25-42a0-8543-4636ef132fe4.csv,Breast-AdenoCA,7,1
96,63,cc4f9175-a8c8-424a-99d7-8bd11cae0e52.csv,Breast-AdenoCA,8,1
97,64,d5372745-95cf-4572-a6e7-e7f5b796911a.csv,Breast-AdenoCA,9,1
98,65,d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d.csv,Breast-AdenoCA,10,1
99,67,dabb5a94-9706-4429-8db0-c328e2004340.csv,Breast-AdenoCA,2,1
100,68,db45d81f-695c-4f99-beea-6dbec1ff47fc.csv,Breast-AdenoCA,3,1
101,69,ddc7377d-82c3-480a-be3c-3d1da52c77d4.csv,Breast-AdenoCA,4,1
102,70,df291849-4c35-44e1-b013-8f6b7ee36113.csv,Breast-AdenoCA,5,1
103,71,e5593865-5f8e-4a4c-b36f-73fbe64d66da.csv,Breast-AdenoCA,6,1
104,72,e55f338f-97e2-4394-ae23-c92606069485.csv,Breast-AdenoCA,7,1
105,73,e7dc7492-3a84-49c7-8dea-8f508b53dc40.csv,Breast-AdenoCA,8,1
106,74,e8392f20-c9e3-4649-b64f-5b266c393a76.csv,Breast-AdenoCA,9,1
107,75,ea43434b-197e-48ac-ae2e-46bc7f3776de.csv,Breast-AdenoCA,10,1
108,77,eddfbfb9-3ae8-449b-b870-46062a2571c1.csv,Breast-AdenoCA,2,1
109,78,f221cbb5-eefa-187f-e040-11ac0c481708.csv,Breast-AdenoCA,3,1
110,79,f393baf9-2710-9203-e040-11ac0d484504.csv,Breast-AdenoCA,4,1
111,80,f393bafd-1baa-e5f4-e040-11ac0d48450b.csv,Breast-AdenoCA,5,1
112,81,f393bafe-7503-5c45-e040-11ac0d484511.csv,Breast-AdenoCA,6,1
113,82,f393bafe-c99f-3725-e040-11ac0d484514.csv,Breast-AdenoCA,7,1
114,83,f393bb00-888d-710f-e040-11ac0d484518.csv,Breast-AdenoCA,8,1
115,84,f393bb01-6ed7-9533-e040-11ac0d484521.csv,Breast-AdenoCA,9,1
116,85,f393bb05-53c2-f80a-e040-11ac0d484528.csv,Breast-AdenoCA,10,1
117,87,f393bb05-ec1c-17be-e040-11ac0d48452f.csv,Breast-AdenoCA,2,1
118,88,f393bb07-270c-2c93-e040-11ac0d484533.csv,Breast-AdenoCA,3,1
119,89,f393bb08-4121-cad8-e040-11ac0d484535.csv,Breast-AdenoCA,4,1
120,90,f393bb08-5b50-e009-e040-11ac0d484537.csv,Breast-AdenoCA,5,1
121,91,f393bb0a-9b20-a0e5-e040-11ac0d48454e.csv,Breast-AdenoCA,6,1
122,92,f393bb0a-df7d-645c-e040-11ac0d484550.csv,Breast-AdenoCA,7,1
123,93,f393bb0b-08ed-3335-e040-11ac0d484554.csv,Breast-AdenoCA,8,1
124,94,f393bb0c-3ffa-cb72-e040-11ac0d48455c.csv,Breast-AdenoCA,9,1
125,95,f393bb0c-4178-ca4a-e040-11ac0d48455f.csv,Breast-AdenoCA,10,1
126,97,f6114c69-71a1-47d5-9b28-b0227b1872f7.csv,Breast-AdenoCA,2,1
127,98,f69e5057-eda6-4391-ba9a-aedbf6b572da.csv,Breast-AdenoCA,3,1
128,99,f7b847e5-0f5d-69b4-e040-11ac0c4845fe.csv,Breast-AdenoCA,4,1
129,100,f7b84b5d-8f28-e6b7-e040-11ac0c484704.csv,Breast-AdenoCA,5,1
130,101,f7b84bac-f161-9eee-e040-11ac0c4847ed.csv,Breast-AdenoCA,6,1
131,102,f7b84c09-15d4-3046-e040-11ac0c4847ff.csv,Breast-AdenoCA,7,1
132,103,f7c6486a-bb08-f77a-e040-11ac0c482953.csv,Breast-AdenoCA,8,1
133,104,f7c6a336-3126-7580-e040-11ac0c485971.csv,Breast-AdenoCA,9,1
134,105,f7c7373c-1972-4968-e040-11ac0d486e80.csv,Breast-AdenoCA,10,1
135,107,f7d70fac-c76f-399e-e040-11ac0c482f9c.csv,Breast-AdenoCA,2,1
136,108,f7d7b3db-02af-61cb-e040-11ac0c480c03.csv,Breast-AdenoCA,3,1
137,109,f7e4a2a8-093d-9e36-e040-11ac0d480c7d.csv,Breast-AdenoCA,4,1
138,110,f7e7b258-b4b2-e6c5-e040-11ac0d486773.csv,Breast-AdenoCA,5,1
139,111,f7e7d61f-e2dc-b523-e040-11ac0c482000.csv,Breast-AdenoCA,6,1
140,112,f7ed28a6-8f5f-e87b-e040-11ac0c48120e.csv,Breast-AdenoCA,7,1
141,113,f7f3e156-0dde-72b9-e040-11ac0d48542c.csv,Breast-AdenoCA,8,1
142,114,f7f66114-e321-1d4c-e040-11ac0d48541a.csv,Breast-AdenoCA,9,1
143,115,f7f6619b-fae8-3381-e040-11ac0c483f78.csv,Breast-AdenoCA,10,1
144,117,f80293b8-ddb7-f575-e040-11ac0d48309d.csv,Breast-AdenoCA,2,1
145,118,f809247c-2bab-ab06-e040-11ac0d482b8a.csv,Breast-AdenoCA,3,1
146,119,f848b66f-bd9e-4fba-afd4-eb58848d1ef4.csv,Breast-AdenoCA,4,1
147,120,f8f749b7-547d-49fa-9da2-44eed962b6fd.csv,Breast-AdenoCA,5,1
148,121,fb9135d9-2acf-41dd-8552-359e6b8c9470.csv,Breast-AdenoCA,6,1
149,122,fc447d4f-2532-c8ea-e040-11ac0c48469f.csv,Breast-AdenoCA,7,1
150,123,fc447d51-cdc2-a180-e040-11ac0c4846a4.csv,Breast-AdenoCA,8,1
151,124,fc447d53-24d1-c83d-e040-11ac0c4846a6.csv,Breast-AdenoCA,9,1
152,125,fc447d55-95d8-0b34-e040-11ac0d483afa.csv,Breast-AdenoCA,10,1
153,127,fc5dc6d8-62d2-76d8-e040-11ac0d4863c3.csv,Breast-AdenoCA,2,1
154,128,fc639186-8302-798e-e040-11ac0c484cec.csv,Breast-AdenoCA,3,1
155,129,fc63cbab-d27a-5ebb-e040-11ac0c48724f.csv,Breast-AdenoCA,4,1
156,130,fc68c24d-47ad-7961-e040-11ac0c48595c.csv,Breast-AdenoCA,5,1
157,131,fc68e599-6a40-61dc-e040-11ac0d48700d.csv,Breast-AdenoCA,6,1
158,132,fc6d77a9-121b-48ab-a899-713c3d1319a2.csv,Breast-AdenoCA,7,1
159,133,fc78685a-7053-152a-e040-11ac0c480ded.csv,Breast-AdenoCA,8,1
160,134,fc7eb420-5c13-20bd-e040-11ac0d484574.csv,Breast-AdenoCA,9,1
161,135,fc7f8eeb-9c40-123e-e040-11ac0c484061.csv,Breast-AdenoCA,10,1
162,137,fc8130df-18fe-c74d-e040-11ac0d485df2.csv,Breast-AdenoCA,2,1
163,138,fc8130df-1bc2-c537-e040-11ac0d485de6.csv,Breast-AdenoCA,3,1
164,139,fc8130df-1cdd-cade-e040-11ac0d485dec.csv,Breast-AdenoCA,4,1
165,140,fc8130df-1e8f-c879-e040-11ac0d485df4.csv,Breast-AdenoCA,5,1
166,141,fc8130df-1f21-c8f9-e040-11ac0d485dfc.csv,Breast-AdenoCA,6,1
167,142,fc8130df-2211-cfcc-e040-11ac0d485dde.csv,Breast-AdenoCA,7,1
168,143,fc8130df-24d9-32f1-e040-11ac0d485df0.csv,Breast-AdenoCA,8,1
169,144,fc8130df-2628-304a-e040-11ac0d485dfa.csv,Breast-AdenoCA,9,1
170,145,fc8130df-297f-34a3-e040-11ac0d485e02.csv,Breast-AdenoCA,10,1
171,147,fc8130df-2d5f-3b53-e040-11ac0d485dee.csv,Breast-AdenoCA,2,1
172,148,fc8130df-2e39-3814-e040-11ac0d485de0.csv,Breast-AdenoCA,3,1
173,149,fc8130df-30a5-3e6a-e040-11ac0d485de2.csv,Breast-AdenoCA,4,1
174,150,fc8130df-3147-3e94-e040-11ac0d485df8.csv,Breast-AdenoCA,5,1
175,151,fc8130df-3225-3f96-e040-11ac0d485dfe.csv,Breast-AdenoCA,6,1
176,152,fc8130df-3361-3c8a-e040-11ac0d485dea.csv,Breast-AdenoCA,7,1
177,153,fc8130df-34f8-22c6-e040-11ac0d485de8.csv,Breast-AdenoCA,8,1
178,154,fc8130df-35ac-2304-e040-11ac0d485dda.csv,Breast-AdenoCA,9,1
179,155,fc8130df-6860-7677-e040-11ac0d485ddc.csv,Breast-AdenoCA,10,1
180,157,fc8130df-6bec-7627-e040-11ac0d485e04.csv,Breast-AdenoCA,2,1
181,158,fc8130df-897d-5404-e040-11ac0d485e0a.csv,Breast-AdenoCA,3,1
182,159,fc8130df-8ec8-5b1e-e040-11ac0d485e06.csv,Breast-AdenoCA,4,1
183,160,fc8130df-90ba-5d94-e040-11ac0d485e0c.csv,Breast-AdenoCA,5,1
184,161,fc8130df-e399-e34d-e040-11ac0c483279.csv,Breast-AdenoCA,6,1
185,162,fc8130e0-08dd-b996-e040-11ac0c48327b.csv,Breast-AdenoCA,7,1
186,163,fc8130e0-095f-b953-e040-11ac0c483287.csv,Breast-AdenoCA,8,1
187,164,fc8130e0-096a-b991-e040-11ac0c48327d.csv,Breast-AdenoCA,9,1
188,165,fc8130e0-09f1-b964-e040-11ac0c48326e.csv,Breast-AdenoCA,10,1
189,167,fc8130e0-0bc1-bba7-e040-11ac0c483289.csv,Breast-AdenoCA,2,1
190,168,fc8130e0-0c53-b432-e040-11ac0c483283.csv,Breast-AdenoCA,3,1
191,169,fc8130e0-0d25-b475-e040-11ac0c483277.csv,Breast-AdenoCA,4,1
192,170,fc8130e0-0db6-b568-e040-11ac0c483281.csv,Breast-AdenoCA,5,1
193,171,fc8130e0-0dcf-b558-e040-11ac0c483285.csv,Breast-AdenoCA,6,1
194,172,fc8130e0-0e1f-b54d-e040-11ac0c48326c.csv,Breast-AdenoCA,7,1
195,173,fc8130e0-0f1a-b6eb-e040-11ac0c48328f.csv,Breast-AdenoCA,8,1
196,174,fc8130e0-a538-dda3-e040-11ac0c483264.csv,Breast-AdenoCA,9,1
197,175,fc8130e0-a539-dda8-e040-11ac0c48326a.csv,Breast-AdenoCA,10,1
198,177,fc8130e0-a8b4-d80d-e040-11ac0c483272.csv,Breast-AdenoCA,2,1
199,178,fc8130e0-a94d-d9d0-e040-11ac0c483262.csv,Breast-AdenoCA,3,1
200,179,fc8130e0-ad8a-b832-e040-11ac0d485e14.csv,Breast-AdenoCA,4,1
201,180,fc8130e0-aed2-bb2f-e040-11ac0d485e12.csv,Breast-AdenoCA,5,1
202,181,fc8130e2-f2ef-d096-e040-11ac0c483293.csv,Breast-AdenoCA,6,1
203,182,fc8130e3-01ba-c740-e040-11ac0c483291.csv,Breast-AdenoCA,7,1
204,183,fc8130e3-023d-c7d4-e040-11ac0c483295.csv,Breast-AdenoCA,8,1
205,184,fc8130e5-18b8-ef38-e040-11ac0c483297.csv,Breast-AdenoCA,9,1
206,185,fc81312a-99ae-7672-e040-11ac0c4832a2.csv,Breast-AdenoCA,10,1
207,187,fc813235-5ed8-7695-e040-11ac0d485e3e.csv,Breast-AdenoCA,2,1
208,188,fc8edf46-2005-1af4-e040-11ac0d481414.csv,Breast-AdenoCA,3,1
209,189,fc93b9ab-760a-5223-e040-11ac0c482177.csv,Breast-AdenoCA,4,1
210,190,fc9dbf68-4599-3c64-e040-11ac0d481623.csv,Breast-AdenoCA,5,1
211,191,fc9ef456-75a2-5967-e040-11ac0c484477.csv,Breast-AdenoCA,6,1
212,192,fc9f6916-da31-ab17-e040-11ac0c4808f3.csv,Breast-AdenoCA,7,1
213,193,fc9f6cb0-ceb9-790d-e040-11ac0c480ad1.csv,Breast-AdenoCA,8,1
214,194,fca07e09-1fd2-9ef5-e040-11ac0d485bbd.csv,Breast-AdenoCA,9,1
215,195,fca3f7d0-2231-661c-e040-11ac0c4832fd.csv,Breast-AdenoCA,10,1
216,197,fe04d042-a4cc-4a14-8197-415ea40951aa.csv,Breast-AdenoCA,2,1
217,0,0332b017-17d5-4083-8fc4-9d6f8fdbbbde.csv,CNS-GBM,3,1
218,1,04339769-517c-448d-a7ca-951f83608c60.csv,CNS-GBM,4,1
219,2,08ac57ec-0036-4134-a9bb-f22eaa27ab0d.csv,CNS-GBM,5,1
220,3,1e27cc8a-5394-4958-9af6-5ece1fe24516.csv,CNS-GBM,6,1
221,4,25bee010-cc99-4af0-ba2f-fe4dd308be33.csv,CNS-GBM,7,1
222,5,2c71d542-1653-4d97-8752-f2fd05c7e75d.csv,CNS-GBM,8,1
223,6,2ce48f01-2f61-49d9-a56a-7438bf4a37d7.csv,CNS-GBM,9,1
224,7,2fdab641-d73b-4f9a-aa4c-c1944f131a69.csv,CNS-GBM,10,1
225,9,3914c02e-44ad-4c96-8464-61aa95b42c49.csv,CNS-GBM,2,1
226,10,39520be3-a2af-4189-acf4-9d239363333a.csv,CNS-GBM,3,1
227,11,41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f.csv,CNS-GBM,4,1
228,12,4a1ad661-f6ae-44e8-b50b-72ff658ff22b.csv,CNS-GBM,5,1
229,13,4d7f2c74-862b-4aad-98e1-fa831f14a905.csv,CNS-GBM,6,1
230,14,53dec97d-0464-4ffd-8e2e-95b2b9a03af0.csv,CNS-GBM,7,1
231,15,56ffaa35-814c-4c0b-b3c6-d4514d34fec2.csv,CNS-GBM,8,1
232,16,5fd77ba9-5015-4d8b-86a0-582e5c76bdd6.csv,CNS-GBM,9,1
233,17,65723119-bdfe-46f0-b629-c171023abd71.csv,CNS-GBM,10,1
234,19,7163a0f7-2c69-40b8-8857-8ab3f46f0acf.csv,CNS-GBM,2,1
235,20,7cae6c0b-36fe-411b-bbba-093a4c846d84.csv,CNS-GBM,3,1
236,21,82d7fa2d-19cd-41b7-8ed1-ea9fb9a544c6.csv,CNS-GBM,4,1
237,22,841eb82b-347d-4d7f-805f-3f3701a2983d.csv,CNS-GBM,5,1
238,23,914421d2-898e-433e-bb66-b1710eaae2c7.csv,CNS-GBM,6,1
239,24,96e3db14-2bb1-4f68-aed6-5e794750c96e.csv,CNS-GBM,7,1
240,25,96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb.csv,CNS-GBM,8,1
241,26,9880c3c9-5685-42a7-8fe9-7585ea1a1d37.csv,CNS-GBM,9,1
242,27,a6957d15-453c-4f3b-ab8c-c38054dfe548.csv,CNS-GBM,10,1
243,29,b1e62d8e-24d2-4118-8cd0-3142acebdd5b.csv,CNS-GBM,2,1
244,30,b2d17671-d2e1-4c97-8b01-a976d5abe1d6.csv,CNS-GBM,3,1
245,31,b60392fb-43d9-4c9c-b91b-ded40492e61c.csv,CNS-GBM,4,1
246,32,b8151614-b08f-49a3-ab6f-2e780f765a17.csv,CNS-GBM,5,1
247,33,c065761d-f775-457f-bda0-4c7c257a701e.csv,CNS-GBM,6,1
248,34,c27290e4-6835-448a-abdc-df8ddd5f4630.csv,CNS-GBM,7,1
249,35,d1132127-1250-43af-9c16-425798a3d1a7.csv,CNS-GBM,8,1
250,36,d60f54f5-b154-42c4-99fb-cea4e7a33dc7.csv,CNS-GBM,9,1
251,37,eab71331-53d3-4cf5-96c9-5121a3962c27.csv,CNS-GBM,10,1
252,39,f98de26b-c7d6-435d-81fa-1f1869da9087.csv,CNS-GBM,2,1
253,40,fca08ee9-b480-4dc7-be56-f1eb03b56f7c.csv,CNS-GBM,3,1
254,0,031962d6-fc7d-4c6c-9d47-ffa45997b249.csv,CNS-Medullo,4,1
255,1,03b5268e-881e-49e7-824f-170c3fc8b11b.csv,CNS-Medullo,5,1
256,2,04b9837e-9ab5-4eb9-9a9c-ef49e3a62662.csv,CNS-Medullo,6,1
257,3,0609b182-0396-4755-b463-10f949c5b8bb.csv,CNS-Medullo,7,1
258,4,0624eb1d-3aff-4037-a3c5-fc363a9edd02.csv,CNS-Medullo,8,1
259,5,0ba8f2e2-935a-4123-86aa-6e7f5de85bf4.csv,CNS-Medullo,9,1
260,6,0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0.csv,CNS-Medullo,10,1
261,8,12ae2ba1-9484-47fe-8a3f-bba94a6abe0c.csv,CNS-Medullo,2,1
262,9,12d7121a-0345-4808-a819-09d6e3227bd5.csv,CNS-Medullo,3,1
263,10,13446fc4-9fa6-4bb3-a00a-b9265b41eb12.csv,CNS-Medullo,4,1
264,11,13c7065e-6780-4571-978e-a7c13078ff50.csv,CNS-Medullo,5,1
265,12,147e3496-514e-4da7-be42-7cd9be78ed04.csv,CNS-Medullo,6,1
266,13,14f41457-25c3-4979-8515-4f33322039a5.csv,CNS-Medullo,7,1
267,14,18f9240e-7acd-41eb-a154-c2a67a1cbe9b.csv,CNS-Medullo,8,1
268,15,19aa8223-ee84-4b5c-b11a-6ca2a2680b3c.csv,CNS-Medullo,9,1
269,16,19b6b9d6-6912-4b85-a4bf-52014bcb170b.csv,CNS-Medullo,10,1
270,18,1bea3a72-3b73-4072-a6bb-96a90119d3ac.csv,CNS-Medullo,2,1
271,19,1f8d8720-30ca-4057-90f7-a34b8383eafe.csv,CNS-Medullo,3,1
272,20,2009e5e7-1796-445b-8677-46b3804fe0bf.csv,CNS-Medullo,4,1
273,21,209a9b10-7129-48fe-a899-d14ba17efe6f.csv,CNS-Medullo,5,1
274,22,2321c412-7730-4694-bc8f-199d7e51a7f8.csv,CNS-Medullo,6,1
275,23,27847313-3b1e-47f2-84f1-acadaf265cf3.csv,CNS-Medullo,7,1
276,24,2abe2e53-ad9b-4fbc-b9a7-93444f1bea87.csv,CNS-Medullo,8,1
277,25,30376989-7edb-4863-9496-1789eccef8c4.csv,CNS-Medullo,9,1
278,26,3166f1ae-678d-42ae-9d44-d3d25d6860c7.csv,CNS-Medullo,10,1
279,28,32a63b4f-3baa-4987-ad30-5bd0c0548088.csv,CNS-Medullo,2,1
280,29,34b0c838-bf6c-4d0f-8cd2-d2928adbb539.csv,CNS-Medullo,3,1
281,30,35b951c0-edb0-47c4-9076-ede346ea7cb1.csv,CNS-Medullo,4,1
282,31,37c913e6-9ce5-4338-8849-b5bf7862d36a.csv,CNS-Medullo,5,1
283,32,391a949d-217a-472c-a6d4-80e548039684.csv,CNS-Medullo,6,1
284,33,3b399659-8302-428a-9c97-1e7b455c9c2f.csv,CNS-Medullo,7,1
285,34,3e1180a5-149c-4e6c-9a29-696e3ba567e3.csv,CNS-Medullo,8,1
286,35,3f3aff50-d71b-44af-85d4-f81e813ea420.csv,CNS-Medullo,9,1
287,36,436af904-65b2-4196-ad8c-a4e98081ee41.csv,CNS-Medullo,10,1
288,38,48fadd0f-6561-4294-bff4-d5e4f7dfe79f.csv,CNS-Medullo,2,1
289,39,492694a7-bb41-4128-a909-c424e7fc0c9e.csv,CNS-Medullo,3,1
