,samples,nm_class,slices,fold
5,25e4cad7-2403-4992-9cbc-433574673549.csv,Breast-AdenoCA,8,1
4,097a7d36-905b-72be-e050-11ac0d482c9a.csv,Breast-AdenoCA,8,1
23,fc9f6cb0-ceb9-790d-e040-11ac0c480ad1.csv,Breast-AdenoCA,7,1
22,fc8130e3-023d-c7d4-e040-11ac0c483295.csv,Breast-AdenoCA,7,1
4,13c312ec-0add-4758-ab8d-c193e2e08c6d.csv,Breast-AdenoCA,10,1
20,fc8130e0-095f-b953-e040-11ac0c483287.csv,Breast-AdenoCA,7,1
6,47312f61-5ef4-4f25-9320-8fbb4758790e.csv,Breast-AdenoCA,10,1
7,6d7f44df-e9f0-4542-a6d8-d14ee7804002.csv,Breast-AdenoCA,10,1
8,8e03e773-5557-4e78-889b-4710c515378f.csv,Breast-AdenoCA,10,1
4,110b5f05-ded7-45ec-b0f6-a941c92d77dd.csv,Breast-AdenoCA,9,1
22,fc8130e5-18b8-ef38-e040-11ac0c483297.csv,Breast-AdenoCA,8,1
15,f7f3e156-0dde-72b9-e040-11ac0d48542c.csv,Breast-AdenoCA,7,1
8,84c77098-03d0-4b22-afb1-797703e85c6c.csv,Breast-AdenoCA,8,1
21,fc8130e0-0f1a-b6eb-e040-11ac0c48328f.csv,Breast-AdenoCA,7,1
17,fc78685a-7053-152a-e040-11ac0c480ded.csv,Breast-AdenoCA,7,1
6,43f7a2e0-fec9-4e43-872d-18c6c946fa17.csv,Breast-AdenoCA,8,1
7,6c65cb6d-8c50-4c7c-bc84-eeebe09fbe01.csv,Breast-AdenoCA,8,1
9,a6c14ebc-81a2-44f7-af87-2b7ec85e5696.csv,Breast-AdenoCA,8,1
21,fc8130e0-a538-dda3-e040-11ac0c483264.csv,Breast-AdenoCA,8,1
14,f7c7373c-1972-4968-e040-11ac0d486e80.csv,Breast-AdenoCA,9,1
13,f393bb0c-4178-ca4a-e040-11ac0d48455f.csv,Breast-AdenoCA,9,1
18,fc8130df-297f-34a3-e040-11ac0d485e02.csv,Breast-AdenoCA,9,1
12,f393bb05-53c2-f80a-e040-11ac0d484528.csv,Breast-AdenoCA,9,1
18,fc8130df-24d9-32f1-e040-11ac0d485df0.csv,Breast-AdenoCA,7,1
20,fc8130e0-09f1-b964-e040-11ac0c48326e.csv,Breast-AdenoCA,9,1
14,f7c6a336-3126-7580-e040-11ac0c485971.csv,Breast-AdenoCA,8,1
12,f393bb01-6ed7-9533-e040-11ac0d484521.csv,Breast-AdenoCA,8,1
21,fc8130e0-a539-dda8-e040-11ac0c48326a.csv,Breast-AdenoCA,9,1
19,fc8130df-6860-7677-e040-11ac0d485ddc.csv,Breast-AdenoCA,9,1
22,fc81312a-99ae-7672-e040-11ac0c4832a2.csv,Breast-AdenoCA,9,1
11,ea43434b-197e-48ac-ae2e-46bc7f3776de.csv,Breast-AdenoCA,9,1
9,a85cf239-ff51-46e7-9b88-4c2cb49c66b9.csv,Breast-AdenoCA,9,1
8,8691c87f-2468-44bb-a670-3dccd6da33c6.csv,Breast-AdenoCA,9,1
17,fc7f8eeb-9c40-123e-e040-11ac0c484061.csv,Breast-AdenoCA,9,1
7,6c8e9197-fd16-4fed-bfda-e349cab26314.csv,Breast-AdenoCA,9,1
5,27f87d1e-2c32-4beb-9677-62f7a286673d.csv,Breast-AdenoCA,9,1
16,fc447d55-95d8-0b34-e040-11ac0d483afa.csv,Breast-AdenoCA,9,1
10,d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d.csv,Breast-AdenoCA,9,1
23,fca3f7d0-2231-661c-e040-11ac0c4832fd.csv,Breast-AdenoCA,9,1
5,2b000af3-2c9d-4eaa-af3f-8101b7425c37.csv,Breast-AdenoCA,10,1
11,e8392f20-c9e3-4649-b64f-5b266c393a76.csv,Breast-AdenoCA,8,1
10,d5372745-95cf-4572-a6e7-e7f5b796911a.csv,Breast-AdenoCA,8,1
6,467ef778-f481-44f3-9768-b9900252d2ba.csv,Breast-AdenoCA,9,1
19,fc8130df-34f8-22c6-e040-11ac0d485de8.csv,Breast-AdenoCA,7,1
15,f7f66114-e321-1d4c-e040-11ac0d48541a.csv,Breast-AdenoCA,8,1
13,f393bb0c-3ffa-cb72-e040-11ac0d48455c.csv,Breast-AdenoCA,8,1
4,01658141-8398-4585-9f0f-8355dd9b0604.csv,Breast-AdenoCA,5,1
18,fc8130df-1f21-c8f9-e040-11ac0d485dfc.csv,Breast-AdenoCA,5,1
21,fc8130e0-a774-d834-e040-11ac0c483268.csv,Breast-AdenoCA,10,1
8,73936e8b-c893-4afd-bd1f-be90c06a4869.csv,Breast-AdenoCA,3,1
23,fc9dbf68-4599-3c64-e040-11ac0d481623.csv,Breast-AdenoCA,4,1
23,fca6150f-d555-a29e-e040-11ac0d4873b2.csv,Breast-AdenoCA,10,1
19,fc8130df-3225-3f96-e040-11ac0d485dfe.csv,Breast-AdenoCA,5,1
20,fc8130df-e399-e34d-e040-11ac0c483279.csv,Breast-AdenoCA,5,1
21,fc8130e0-0dcf-b558-e040-11ac0c483285.csv,Breast-AdenoCA,5,1
5,207f8a42-5b05-4876-b0ae-ebfaeea27844.csv,Breast-AdenoCA,5,1
22,fc8130e2-f2ef-d096-e040-11ac0c483293.csv,Breast-AdenoCA,5,1
4,0448206f-3ade-4087-b1a9-4fb2d14e1367.csv,Breast-AdenoCA,6,1
22,fc81312a-d451-38fb-e040-11ac0c4832a4.csv,Breast-AdenoCA,10,1
22,fc8130e0-aed2-bb2f-e040-11ac0d485e12.csv,Breast-AdenoCA,4,1
6,418e916b-7a4e-4fab-8616-15dcec4d79f8.csv,Breast-AdenoCA,6,1
23,fc9f6916-da31-ab17-e040-11ac0c4808f3.csv,Breast-AdenoCA,6,1
20,fc8130e0-096a-b991-e040-11ac0c48327d.csv,Breast-AdenoCA,8,1
9,987528ac-437a-4eb8-a335-4f2076d5c006.csv,Breast-AdenoCA,4,1
8,74039acd-5aca-4c65-818c-3b577d295be0.csv,Breast-AdenoCA,4,1
7,5a535c49-d42e-43c6-9d32-dc76f28d4f0f.csv,Breast-AdenoCA,4,1
23,fc9ef456-75a2-5967-e040-11ac0c484477.csv,Breast-AdenoCA,5,1
16,fb9135d9-2acf-41dd-8552-359e6b8c9470.csv,Breast-AdenoCA,5,1
16,fc447d51-cdc2-a180-e040-11ac0c4846a4.csv,Breast-AdenoCA,7,1
14,f7c6486a-bb08-f77a-e040-11ac0c482953.csv,Breast-AdenoCA,7,1
21,fc8130e0-0db6-b568-e040-11ac0c483281.csv,Breast-AdenoCA,4,1
21,fc8130e0-0e1f-b54d-e040-11ac0c48326c.csv,Breast-AdenoCA,6,1
19,fc8130df-3361-3c8a-e040-11ac0d485dea.csv,Breast-AdenoCA,6,1
5,1eb62abc-7928-405b-84cc-f091ca5347b2.csv,Breast-AdenoCA,4,1
15,f7e7b258-b4b2-e6c5-e040-11ac0d486773.csv,Breast-AdenoCA,4,1
13,f393bb08-4121-cad8-e040-11ac0d484535.csv,Breast-AdenoCA,3,1
17,fc68e599-6a40-61dc-e040-11ac0d48700d.csv,Breast-AdenoCA,5,1
6,36d1a85e-a09b-4537-86e0-eaf1eb03aed8.csv,Breast-AdenoCA,5,1
7,5b7d5767-2037-4175-aec9-886776343181.csv,Breast-AdenoCA,5,1
8,7456abd5-303e-4e6f-bf4e-47efefc7310f.csv,Breast-AdenoCA,5,1
9,987d41ee-6bab-490c-b0f2-bf28c0089de9.csv,Breast-AdenoCA,5,1
10,c61ded54-f80e-4da8-b1d8-e22551c96118.csv,Breast-AdenoCA,5,1
11,e5593865-5f8e-4a4c-b36f-73fbe64d66da.csv,Breast-AdenoCA,5,1
12,f393bafe-7503-5c45-e040-11ac0d484511.csv,Breast-AdenoCA,5,1
13,f393bb0a-9b20-a0e5-e040-11ac0d48454e.csv,Breast-AdenoCA,5,1
14,f7b84bac-f161-9eee-e040-11ac0c4847ed.csv,Breast-AdenoCA,5,1
15,f7e7d61f-e2dc-b523-e040-11ac0c482000.csv,Breast-AdenoCA,5,1
11,ddc7377d-82c3-480a-be3c-3d1da52c77d4.csv,Breast-AdenoCA,3,1
6,3585e133-b3c1-4d90-b5f2-2b867e0ae0ec.csv,Breast-AdenoCA,4,1
23,fc93b9ab-760a-5223-e040-11ac0c482177.csv,Breast-AdenoCA,3,1
22,fc8130e0-ad8a-b832-e040-11ac0d485e14.csv,Breast-AdenoCA,3,1
17,fc63cbab-d27a-5ebb-e040-11ac0c48724f.csv,Breast-AdenoCA,3,1
18,fc8130df-1cdd-cade-e040-11ac0d485dec.csv,Breast-AdenoCA,3,1
19,fc8130df-30a5-3e6a-e040-11ac0d485de2.csv,Breast-AdenoCA,3,1
15,f7fdda4f-7bf7-ede7-e040-11ac0c486e57.csv,Breast-AdenoCA,10,1
14,f7d128d2-3964-e3bc-e040-11ac0d481667.csv,Breast-AdenoCA,10,1
13,f39cc911-36a7-4c06-9e91-4ad86281db3d.csv,Breast-AdenoCA,10,1
8,74b57d2c-a83f-4798-b86b-a533975e4cc0.csv,Breast-AdenoCA,6,1
7,6764e0a2-7a78-45c1-9189-6001c6518ce4.csv,Breast-AdenoCA,7,1
6,41f140b8-72b9-4ae3-8b25-6144d9f94d0f.csv,Breast-AdenoCA,7,1
5,25c76a8f-77c0-4650-bddf-45ed0c10a2e6.csv,Breast-AdenoCA,7,1
4,07b5141f-ac79-439b-883b-b0183bbe7ff5.csv,Breast-AdenoCA,7,1
18,fc8130df-1e8f-c879-e040-11ac0d485df4.csv,Breast-AdenoCA,4,1
19,fc8130df-3147-3e94-e040-11ac0d485df8.csv,Breast-AdenoCA,4,1
20,fc8130df-90ba-5d94-e040-11ac0d485e0c.csv,Breast-AdenoCA,4,1
20,fc8130e0-08dd-b996-e040-11ac0c48327b.csv,Breast-AdenoCA,6,1
9,9c70688d-6e43-4520-9262-eaae4e4d597d.csv,Breast-AdenoCA,6,1
10,c67409b2-ac25-42a0-8543-4636ef132fe4.csv,Breast-AdenoCA,6,1
11,e55f338f-97e2-4394-ae23-c92606069485.csv,Breast-AdenoCA,6,1
12,f393bafe-c99f-3725-e040-11ac0d484514.csv,Breast-AdenoCA,6,1
13,f393bb0a-df7d-645c-e040-11ac0d484550.csv,Breast-AdenoCA,6,1
14,f7b84c09-15d4-3046-e040-11ac0c4847ff.csv,Breast-AdenoCA,6,1
15,f7ed28a6-8f5f-e87b-e040-11ac0c48120e.csv,Breast-AdenoCA,6,1
16,fc447d4f-2532-c8ea-e040-11ac0c48469f.csv,Breast-AdenoCA,6,1
16,f848b66f-bd9e-4fba-afd4-eb58848d1ef4.csv,Breast-AdenoCA,3,1
7,546b982f-60d9-43df-9761-09369afbee2d.csv,Breast-AdenoCA,3,1
15,f7e4a2a8-093d-9e36-e040-11ac0d480c7d.csv,Breast-AdenoCA,3,1
12,f393bb05-c737-4cc3-e040-11ac0d48452a.csv,Breast-AdenoCA,10,1
11,ec4d4cbc-d5d1-418d-a292-cad9576624fd.csv,Breast-AdenoCA,10,1
10,d8fbb398-d1da-4444-984a-22c8523625da.csv,Breast-AdenoCA,10,1
9,a876398c-5b1d-444f-a360-5fe2db697480.csv,Breast-AdenoCA,10,1
19,fc8130df-35ac-2304-e040-11ac0d485dda.csv,Breast-AdenoCA,8,1
22,fc8130e3-01ba-c740-e040-11ac0c483291.csv,Breast-AdenoCA,6,1
18,fc8130df-2628-304a-e040-11ac0d485dfa.csv,Breast-AdenoCA,8,1
17,fc7eb420-5c13-20bd-e040-11ac0d484574.csv,Breast-AdenoCA,8,1
16,fc447d53-24d1-c83d-e040-11ac0c4846a6.csv,Breast-AdenoCA,8,1
11,df291849-4c35-44e1-b013-8f6b7ee36113.csv,Breast-AdenoCA,4,1
18,fc8130df-2ca4-39d2-e040-11ac0d485e00.csv,Breast-AdenoCA,10,1
12,f393bafd-1baa-e5f4-e040-11ac0d48450b.csv,Breast-AdenoCA,4,1
20,fc8130e0-0b9c-bbc9-e040-11ac0c483266.csv,Breast-AdenoCA,10,1
19,fc8130df-6977-7704-e040-11ac0d485de4.csv,Breast-AdenoCA,10,1
17,fc806c50-2f6e-418d-e040-11ac0d485f01.csv,Breast-AdenoCA,10,1
16,fc447d56-0d53-e0c3-e040-11ac0c4846a8.csv,Breast-AdenoCA,10,1
10,b752b444-f033-4be4-9d24-e5e80b4181af.csv,Breast-AdenoCA,4,1
13,f393bb08-5b50-e009-e040-11ac0d484537.csv,Breast-AdenoCA,4,1
14,f7b84b5d-8f28-e6b7-e040-11ac0c484704.csv,Breast-AdenoCA,4,1
20,fc8130df-8ec8-5b1e-e040-11ac0d485e06.csv,Breast-AdenoCA,3,1
14,f7b847e5-0f5d-69b4-e040-11ac0c4845fe.csv,Breast-AdenoCA,3,1
17,fc6d77a9-121b-48ab-a899-713c3d1319a2.csv,Breast-AdenoCA,6,1
17,fc68c24d-47ad-7961-e040-11ac0c48595c.csv,Breast-AdenoCA,4,1
12,f393baf9-2710-9203-e040-11ac0d484504.csv,Breast-AdenoCA,3,1
18,fc8130df-2211-cfcc-e040-11ac0d485dde.csv,Breast-AdenoCA,6,1
16,f8f749b7-547d-49fa-9da2-44eed962b6fd.csv,Breast-AdenoCA,4,1
21,fc8130e0-0d25-b475-e040-11ac0c483277.csv,Breast-AdenoCA,3,1
6,30dbe353-86d5-40ed-84c2-dbddf7beb17b.csv,Breast-AdenoCA,3,1
23,fc8edf46-2005-1af4-e040-11ac0d481414.csv,Breast-AdenoCA,2,1
5,1c0e384f-7254-4afe-93c0-b3fc6c6a7894.csv,Breast-AdenoCA,3,1
6,2da2b745-068d-408c-9163-3b3a78d4aaed.csv,Breast-AdenoCA,2,1
5,1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa.csv,Breast-AdenoCA,2,1
10,cc4f9175-a8c8-424a-99d7-8bd11cae0e52.csv,Breast-AdenoCA,7,1
9,9ddf2119-a222-4fa5-a9f3-0bec7eeea36b.csv,Breast-AdenoCA,7,1
8,7b08e810-f3c9-4155-ac11-f45a3a4f8b41.csv,Breast-AdenoCA,7,1
7,4e84eed6-82a8-4e91-b0fd-61ec6ef69ce9.csv,Breast-AdenoCA,2,1
22,fc8130e0-a94d-d9d0-e040-11ac0c483262.csv,Breast-AdenoCA,2,1
21,fc8130e0-0c53-b432-e040-11ac0c483283.csv,Breast-AdenoCA,2,1
20,fc8130df-897d-5404-e040-11ac0d485e0a.csv,Breast-AdenoCA,2,1
7,5dbf3203-ce73-41e4-bf9a-32fc856f73f5.csv,Breast-AdenoCA,6,1
12,f393bb00-888d-710f-e040-11ac0d484518.csv,Breast-AdenoCA,7,1
13,f393bb0b-08ed-3335-e040-11ac0d484554.csv,Breast-AdenoCA,7,1
11,e7dc7492-3a84-49c7-8dea-8f508b53dc40.csv,Breast-AdenoCA,7,1
10,b27d75ba-5989-4200-bfe9-f1b7d7cf8008.csv,Breast-AdenoCA,3,1
15,f7d7b3db-02af-61cb-e040-11ac0c480c03.csv,Breast-AdenoCA,2,1
9,9032b7fe-e38a-4641-a45e-67041668adc4.csv,Breast-AdenoCA,2,1
19,fc8130df-2e39-3814-e040-11ac0d485de0.csv,Breast-AdenoCA,2,1
18,fc8130df-1bc2-c537-e040-11ac0d485de6.csv,Breast-AdenoCA,2,1
17,fc639186-8302-798e-e040-11ac0c484cec.csv,Breast-AdenoCA,2,1
9,97064332-1d4f-4571-93ff-354ffe6d7df9.csv,Breast-AdenoCA,3,1
16,f809247c-2bab-ab06-e040-11ac0d482b8a.csv,Breast-AdenoCA,2,1
14,f69e5057-eda6-4391-ba9a-aedbf6b572da.csv,Breast-AdenoCA,2,1
13,f393bb07-270c-2c93-e040-11ac0d484533.csv,Breast-AdenoCA,2,1
12,f221cbb5-eefa-187f-e040-11ac0c481708.csv,Breast-AdenoCA,2,1
11,db45d81f-695c-4f99-beea-6dbec1ff47fc.csv,Breast-AdenoCA,2,1
10,aacaba97-ecde-440b-aae0-0e9c608c4b24.csv,Breast-AdenoCA,2,1
8,71fda5a9-7049-406f-9348-2c24f7ddf5f4.csv,Breast-AdenoCA,2,1
5,2290b078-6a5b-4c83-9dfb-b525bbf14e4e.csv,Breast-AdenoCA,6,1
24,1e27cc8a-5394-4958-9af6-5ece1fe24516.csv,CNS-GBM,5,1
25,4d7f2c74-862b-4aad-98e1-fa831f14a905.csv,CNS-GBM,5,1
26,914421d2-898e-433e-bb66-b1710eaae2c7.csv,CNS-GBM,5,1
27,c065761d-f775-457f-bda0-4c7c257a701e.csv,CNS-GBM,5,1
24,25bee010-cc99-4af0-ba2f-fe4dd308be33.csv,CNS-GBM,6,1
27,b60392fb-43d9-4c9c-b91b-ded40492e61c.csv,CNS-GBM,3,1
26,82d7fa2d-19cd-41b7-8ed1-ea9fb9a544c6.csv,CNS-GBM,3,1
27,b8151614-b08f-49a3-ab6f-2e780f765a17.csv,CNS-GBM,4,1
26,841eb82b-347d-4d7f-805f-3f3701a2983d.csv,CNS-GBM,4,1
26,7cae6c0b-36fe-411b-bbba-093a4c846d84.csv,CNS-GBM,2,1
24,2fdab641-d73b-4f9a-aa4c-c1944f131a69.csv,CNS-GBM,9,1
25,65723119-bdfe-46f0-b629-c171023abd71.csv,CNS-GBM,9,1
26,a6957d15-453c-4f3b-ab8c-c38054dfe548.csv,CNS-GBM,9,1
24,374cbd87-428e-4509-85c1-b7d3302c30a0.csv,CNS-GBM,10,1
25,6de41ac1-229b-40b9-a494-5588c284351d.csv,CNS-GBM,10,1
26,a8f86b64-914c-4d89-897b-33bcdd1759f7.csv,CNS-GBM,10,1
27,ece0f3a4-a204-4c52-bb1f-88d44a875b2e.csv,CNS-GBM,10,1
25,56ffaa35-814c-4c0b-b3c6-d4514d34fec2.csv,CNS-GBM,7,1
24,2c71d542-1653-4d97-8752-f2fd05c7e75d.csv,CNS-GBM,7,1
28,fca08ee9-b480-4dc7-be56-f1eb03b56f7c.csv,CNS-GBM,2,1
27,b2d17671-d2e1-4c97-8b01-a976d5abe1d6.csv,CNS-GBM,2,1
24,0332b017-17d5-4083-8fc4-9d6f8fdbbbde.csv,CNS-GBM,2,1
25,39520be3-a2af-4189-acf4-9d239363333a.csv,CNS-GBM,2,1
25,4a1ad661-f6ae-44e8-b50b-72ff658ff22b.csv,CNS-GBM,4,1
24,08ac57ec-0036-4134-a9bb-f22eaa27ab0d.csv,CNS-GBM,4,1
27,d1132127-1250-43af-9c16-425798a3d1a7.csv,CNS-GBM,7,1
24,2ce48f01-2f61-49d9-a56a-7438bf4a37d7.csv,CNS-GBM,8,1
25,5fd77ba9-5015-4d8b-86a0-582e5c76bdd6.csv,CNS-GBM,8,1
26,96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb.csv,CNS-GBM,7,1
27,eab71331-53d3-4cf5-96c9-5121a3962c27.csv,CNS-GBM,9,1
24,04339769-517c-448d-a7ca-951f83608c60.csv,CNS-GBM,3,1
25,41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f.csv,CNS-GBM,3,1
27,d60f54f5-b154-42c4-99fb-cea4e7a33dc7.csv,CNS-GBM,8,1
25,53dec97d-0464-4ffd-8e2e-95b2b9a03af0.csv,CNS-GBM,6,1
26,9880c3c9-5685-42a7-8fe9-7585ea1a1d37.csv,CNS-GBM,8,1
27,c27290e4-6835-448a-abdc-df8ddd5f4630.csv,CNS-GBM,6,1
26,96e3db14-2bb1-4f68-aed6-5e794750c96e.csv,CNS-GBM,6,1
41,ea121956-77f5-4da3-ab15-0b825469eafe.csv,CNS-Medullo,10,1
41,e23462f2-cb86-4a3e-8521-221f4bec247c.csv,CNS-Medullo,7,1
40,cdc672cc-35df-4f10-88f1-d3e40dabf601.csv,CNS-Medullo,7,1
39,c4c776f8-ee3f-4cce-beb9-8dcf262cdcdf.csv,CNS-Medullo,7,1
38,b0d1fde4-928f-4f4c-bff6-33b885582bb5.csv,CNS-Medullo,7,1
37,a2a4021e-1273-4c18-907c-d20454ab898c.csv,CNS-Medullo,7,1
36,8efb116f-4ecf-4191-8ebf-90a94c1880cf.csv,CNS-Medullo,7,1
35,7bd4d5e2-69ee-4264-93e4-2ba01418c460.csv,CNS-Medullo,7,1
42,f8d89ae2-2c7d-40ae-8d40-34b93b16efc9.csv,CNS-Medullo,7,1
28,0ba8f2e2-935a-4123-86aa-6e7f5de85bf4.csv,CNS-Medullo,8,1
29,19aa8223-ee84-4b5c-b11a-6ca2a2680b3c.csv,CNS-Medullo,8,1
30,30376989-7edb-4863-9496-1789eccef8c4.csv,CNS-Medullo,8,1
30,324adcfa-3fba-45b9-99f0-9d41c0c54d79.csv,CNS-Medullo,10,1
29,1bd74f92-47f6-427e-af6f-299c3a7fe023.csv,CNS-Medullo,10,1
36,906f6f1e-569d-4ce2-9273-1f305782f77f.csv,CNS-Medullo,8,1
35,7dddd413-d2c6-4f75-bbf6-3b202877546e.csv,CNS-Medullo,8,1
34,6551ec26-4166-4d4f-bee2-444ea2466978.csv,CNS-Medullo,8,1
33,59bfcb53-91c1-4dce-856a-f4afc8fa6224.csv,CNS-Medullo,8,1
32,4d6bb438-86f0-4414-962f-2b1cebee4524.csv,CNS-Medullo,8,1
31,3f3aff50-d71b-44af-85d4-f81e813ea420.csv,CNS-Medullo,8,1
41,d9338d73-1d5e-4808-91f2-b5a09f7342de.csv,CNS-Medullo,6,1
31,3b399659-8302-428a-9c97-1e7b455c9c2f.csv,CNS-Medullo,6,1
32,4d121008-0987-4142-a2b8-7dac58f3110a.csv,CNS-Medullo,6,1
42,edc070db-b768-478f-ae75-4c4012bdc3fe.csv,CNS-Medullo,3,1
28,03b5268e-881e-49e7-824f-170c3fc8b11b.csv,CNS-Medullo,4,1
41,d609ce92-9edd-4286-bd5f-b93304cae9a2.csv,CNS-Medullo,3,1
34,5c775f90-83d4-4c1e-88c2-4e1ed1daa96f.csv,CNS-Medullo,2,1
33,518d6c1b-8234-40be-9560-6d383d5866fa.csv,CNS-Medullo,2,1
32,492694a7-bb41-4128-a909-c424e7fc0c9e.csv,CNS-Medullo,2,1
31,34b0c838-bf6c-4d0f-8cd2-d2928adbb539.csv,CNS-Medullo,2,1
30,1f8d8720-30ca-4057-90f7-a34b8383eafe.csv,CNS-Medullo,2,1
29,13446fc4-9fa6-4bb3-a00a-b9265b41eb12.csv,CNS-Medullo,3,1
36,86ae34f9-e16a-4593-8e55-b1296782bc1f.csv,CNS-Medullo,2,1
32,4e361622-f9a8-4e9b-a89e-19bafebe1d6a.csv,CNS-Medullo,10,1
31,45614404-2149-4468-848c-0796e3757d62.csv,CNS-Medullo,10,1
34,5fa88c3a-dbc1-43f2-82b2-e0592f35ce57.csv,CNS-Medullo,6,1
41,e76128b3-8629-4ffd-b02a-e3f0aae8b1a9.csv,CNS-Medullo,8,1
28,0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0.csv,CNS-Medullo,9,1
29,12d7121a-0345-4808-a819-09d6e3227bd5.csv,CNS-Medullo,2,1
35,6d3d5531-16b4-46ec-bd7e-394946855d62.csv,CNS-Medullo,2,1
39,c59188a8-c6bb-433c-97fe-69f79a126d03.csv,CNS-Medullo,8,1
38,b68f18e1-0117-420c-9405-e8d3a1e8caff.csv,CNS-Medullo,10,1
41,e9d607e8-41c3-4210-870b-a9ab9b1d1c8c.csv,CNS-Medullo,9,1
40,d0161ca7-3c33-4fe5-80df-0cc4b3c4e8ee.csv,CNS-Medullo,9,1
39,c6224ab0-74f5-4f0a-9fe0-c083f806c853.csv,CNS-Medullo,9,1
38,b64173fc-abac-4695-902b-f0acf9444e9f.csv,CNS-Medullo,9,1
37,aa018d90-5250-4313-9f7c-a3f196765e07.csv,CNS-Medullo,9,1
36,909f3c5d-89fc-419b-a654-75ac1dbb149f.csv,CNS-Medullo,9,1
35,7f22b0f7-4040-4c84-939e-894c3050ef5d.csv,CNS-Medullo,9,1
34,68956108-2606-4696-b038-462b6c432398.csv,CNS-Medullo,9,1
