,samples,nm_class,slices,fold
54,a85cf239-ff51-46e7-9b88-4c2cb49c66b9,Breast-AdenoCA,4,1
55,a876398c-5b1d-444f-a360-5fe2db697480,Breast-AdenoCA,5,1
57,aacaba97-ecde-440b-aae0-0e9c608c4b24,Breast-AdenoCA,2,1
58,b27d75ba-5989-4200-bfe9-f1b7d7cf8008,Breast-AdenoCA,3,1
59,b752b444-f033-4be4-9d24-e5e80b4181af,Breast-AdenoCA,4,1
60,c61ded54-f80e-4da8-b1d8-e22551c96118,Breast-AdenoCA,5,1
62,cc4f9175-a8c8-424a-99d7-8bd11cae0e52,Breast-AdenoCA,2,1
63,d5372745-95cf-4572-a6e7-e7f5b796911a,Breast-AdenoCA,3,1
64,d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d,Breast-AdenoCA,4,1
65,d8fbb398-d1da-4444-984a-22c8523625da,Breast-AdenoCA,5,1
67,db45d81f-695c-4f99-beea-6dbec1ff47fc,Breast-AdenoCA,2,1
68,ddc7377d-82c3-480a-be3c-3d1da52c77d4,Breast-AdenoCA,3,1
69,df291849-4c35-44e1-b013-8f6b7ee36113,Breast-AdenoCA,4,1
70,e5593865-5f8e-4a4c-b36f-73fbe64d66da,Breast-AdenoCA,5,1
72,e7dc7492-3a84-49c7-8dea-8f508b53dc40,Breast-AdenoCA,2,1
73,e8392f20-c9e3-4649-b64f-5b266c393a76,Breast-AdenoCA,3,1
74,ea43434b-197e-48ac-ae2e-46bc7f3776de,Breast-AdenoCA,4,1
75,ec4d4cbc-d5d1-418d-a292-cad9576624fd,Breast-AdenoCA,5,1
77,f221cbb5-eefa-187f-e040-11ac0c481708,Breast-AdenoCA,2,1
78,f393baf9-2710-9203-e040-11ac0d484504,Breast-AdenoCA,3,1
79,f393bafd-1baa-e5f4-e040-11ac0d48450b,Breast-AdenoCA,4,1
80,f393bafe-7503-5c45-e040-11ac0d484511,Breast-AdenoCA,5,1
82,f393bb00-888d-710f-e040-11ac0d484518,Breast-AdenoCA,2,1
83,f393bb01-6ed7-9533-e040-11ac0d484521,Breast-AdenoCA,3,1
84,f393bb05-53c2-f80a-e040-11ac0d484528,Breast-AdenoCA,4,1
85,f393bb05-c737-4cc3-e040-11ac0d48452a,Breast-AdenoCA,5,1
87,f393bb07-270c-2c93-e040-11ac0d484533,Breast-AdenoCA,2,1
88,f393bb08-4121-cad8-e040-11ac0d484535,Breast-AdenoCA,3,1
89,f393bb08-5b50-e009-e040-11ac0d484537,Breast-AdenoCA,4,1
90,f393bb0a-9b20-a0e5-e040-11ac0d48454e,Breast-AdenoCA,5,1
92,f393bb0b-08ed-3335-e040-11ac0d484554,Breast-AdenoCA,2,1
93,f393bb0c-3ffa-cb72-e040-11ac0d48455c,Breast-AdenoCA,3,1
94,f393bb0c-4178-ca4a-e040-11ac0d48455f,Breast-AdenoCA,4,1
95,f39cc911-36a7-4c06-9e91-4ad86281db3d,Breast-AdenoCA,5,1
97,f69e5057-eda6-4391-ba9a-aedbf6b572da,Breast-AdenoCA,2,1
98,f7b847e5-0f5d-69b4-e040-11ac0c4845fe,Breast-AdenoCA,3,1
99,f7b84b5d-8f28-e6b7-e040-11ac0c484704,Breast-AdenoCA,4,1
100,f7b84bac-f161-9eee-e040-11ac0c4847ed,Breast-AdenoCA,5,1
102,f7c6486a-bb08-f77a-e040-11ac0c482953,Breast-AdenoCA,2,1
103,f7c6a336-3126-7580-e040-11ac0c485971,Breast-AdenoCA,3,1
104,f7c7373c-1972-4968-e040-11ac0d486e80,Breast-AdenoCA,4,1
105,f7d128d2-3964-e3bc-e040-11ac0d481667,Breast-AdenoCA,5,1
107,f7d7b3db-02af-61cb-e040-11ac0c480c03,Breast-AdenoCA,2,1
108,f7e4a2a8-093d-9e36-e040-11ac0d480c7d,Breast-AdenoCA,3,1
109,f7e7b258-b4b2-e6c5-e040-11ac0d486773,Breast-AdenoCA,4,1
110,f7e7d61f-e2dc-b523-e040-11ac0c482000,Breast-AdenoCA,5,1
112,f7f3e156-0dde-72b9-e040-11ac0d48542c,Breast-AdenoCA,2,1
113,f7f66114-e321-1d4c-e040-11ac0d48541a,Breast-AdenoCA,3,1
114,f7f6619b-fae8-3381-e040-11ac0c483f78,Breast-AdenoCA,4,1
115,f7fdda4f-7bf7-ede7-e040-11ac0c486e57,Breast-AdenoCA,5,1
117,f809247c-2bab-ab06-e040-11ac0d482b8a,Breast-AdenoCA,2,1
118,f848b66f-bd9e-4fba-afd4-eb58848d1ef4,Breast-AdenoCA,3,1
119,f8f749b7-547d-49fa-9da2-44eed962b6fd,Breast-AdenoCA,4,1
120,fb9135d9-2acf-41dd-8552-359e6b8c9470,Breast-AdenoCA,5,1
122,fc447d51-cdc2-a180-e040-11ac0c4846a4,Breast-AdenoCA,2,1
123,fc447d53-24d1-c83d-e040-11ac0c4846a6,Breast-AdenoCA,3,1
124,fc447d55-95d8-0b34-e040-11ac0d483afa,Breast-AdenoCA,4,1
125,fc447d56-0d53-e0c3-e040-11ac0c4846a8,Breast-AdenoCA,5,1
127,fc639186-8302-798e-e040-11ac0c484cec,Breast-AdenoCA,2,1
128,fc63cbab-d27a-5ebb-e040-11ac0c48724f,Breast-AdenoCA,3,1
129,fc68c24d-47ad-7961-e040-11ac0c48595c,Breast-AdenoCA,4,1
130,fc68e599-6a40-61dc-e040-11ac0d48700d,Breast-AdenoCA,5,1
132,fc78685a-7053-152a-e040-11ac0c480ded,Breast-AdenoCA,2,1
133,fc7eb420-5c13-20bd-e040-11ac0d484574,Breast-AdenoCA,3,1
134,fc7f8eeb-9c40-123e-e040-11ac0c484061,Breast-AdenoCA,4,1
135,fc806c50-2f6e-418d-e040-11ac0d485f01,Breast-AdenoCA,5,1
137,fc8130df-1bc2-c537-e040-11ac0d485de6,Breast-AdenoCA,2,1
138,fc8130df-1cdd-cade-e040-11ac0d485dec,Breast-AdenoCA,3,1
139,fc8130df-1e8f-c879-e040-11ac0d485df4,Breast-AdenoCA,4,1
140,fc8130df-1f21-c8f9-e040-11ac0d485dfc,Breast-AdenoCA,5,1
142,fc8130df-24d9-32f1-e040-11ac0d485df0,Breast-AdenoCA,2,1
143,fc8130df-2628-304a-e040-11ac0d485dfa,Breast-AdenoCA,3,1
144,fc8130df-297f-34a3-e040-11ac0d485e02,Breast-AdenoCA,4,1
145,fc8130df-2ca4-39d2-e040-11ac0d485e00,Breast-AdenoCA,5,1
147,fc8130df-2e39-3814-e040-11ac0d485de0,Breast-AdenoCA,2,1
148,fc8130df-30a5-3e6a-e040-11ac0d485de2,Breast-AdenoCA,3,1
149,fc8130df-3147-3e94-e040-11ac0d485df8,Breast-AdenoCA,4,1
150,fc8130df-3225-3f96-e040-11ac0d485dfe,Breast-AdenoCA,5,1
152,fc8130df-34f8-22c6-e040-11ac0d485de8,Breast-AdenoCA,2,1
153,fc8130df-35ac-2304-e040-11ac0d485dda,Breast-AdenoCA,3,1
154,fc8130df-6860-7677-e040-11ac0d485ddc,Breast-AdenoCA,4,1
155,fc8130df-6977-7704-e040-11ac0d485de4,Breast-AdenoCA,5,1
157,fc8130df-897d-5404-e040-11ac0d485e0a,Breast-AdenoCA,2,1
158,fc8130df-8ec8-5b1e-e040-11ac0d485e06,Breast-AdenoCA,3,1
159,fc8130df-90ba-5d94-e040-11ac0d485e0c,Breast-AdenoCA,4,1
160,fc8130df-e399-e34d-e040-11ac0c483279,Breast-AdenoCA,5,1
162,fc8130e0-095f-b953-e040-11ac0c483287,Breast-AdenoCA,2,1
163,fc8130e0-096a-b991-e040-11ac0c48327d,Breast-AdenoCA,3,1
164,fc8130e0-09f1-b964-e040-11ac0c48326e,Breast-AdenoCA,4,1
165,fc8130e0-0b9c-bbc9-e040-11ac0c483266,Breast-AdenoCA,5,1
167,fc8130e0-0c53-b432-e040-11ac0c483283,Breast-AdenoCA,2,1
168,fc8130e0-0d25-b475-e040-11ac0c483277,Breast-AdenoCA,3,1
169,fc8130e0-0db6-b568-e040-11ac0c483281,Breast-AdenoCA,4,1
170,fc8130e0-0dcf-b558-e040-11ac0c483285,Breast-AdenoCA,5,1
172,fc8130e0-0f1a-b6eb-e040-11ac0c48328f,Breast-AdenoCA,2,1
173,fc8130e0-a538-dda3-e040-11ac0c483264,Breast-AdenoCA,3,1
174,fc8130e0-a539-dda8-e040-11ac0c48326a,Breast-AdenoCA,4,1
175,fc8130e0-a774-d834-e040-11ac0c483268,Breast-AdenoCA,5,1
177,fc8130e0-a94d-d9d0-e040-11ac0c483262,Breast-AdenoCA,2,1
178,fc8130e0-ad8a-b832-e040-11ac0d485e14,Breast-AdenoCA,3,1
179,fc8130e0-aed2-bb2f-e040-11ac0d485e12,Breast-AdenoCA,4,1
180,fc8130e2-f2ef-d096-e040-11ac0c483293,Breast-AdenoCA,5,1
182,fc8130e3-023d-c7d4-e040-11ac0c483295,Breast-AdenoCA,2,1
183,fc8130e5-18b8-ef38-e040-11ac0c483297,Breast-AdenoCA,3,1
184,fc81312a-99ae-7672-e040-11ac0c4832a2,Breast-AdenoCA,4,1
185,fc81312a-d451-38fb-e040-11ac0c4832a4,Breast-AdenoCA,5,1
187,fc8edf46-2005-1af4-e040-11ac0d481414,Breast-AdenoCA,2,1
188,fc93b9ab-760a-5223-e040-11ac0c482177,Breast-AdenoCA,3,1
189,fc9dbf68-4599-3c64-e040-11ac0d481623,Breast-AdenoCA,4,1
190,fc9ef456-75a2-5967-e040-11ac0c484477,Breast-AdenoCA,5,1
192,fc9f6cb0-ceb9-790d-e040-11ac0c480ad1,Breast-AdenoCA,2,1
193,fca07e09-1fd2-9ef5-e040-11ac0d485bbd,Breast-AdenoCA,3,1
194,fca3f7d0-2231-661c-e040-11ac0c4832fd,Breast-AdenoCA,4,1
195,fca6150f-d555-a29e-e040-11ac0d4873b2,Breast-AdenoCA,5,1
0,0332b017-17d5-4083-8fc4-9d6f8fdbbbde,CNS-GBM,2,1
1,04339769-517c-448d-a7ca-951f83608c60,CNS-GBM,3,1
2,08ac57ec-0036-4134-a9bb-f22eaa27ab0d,CNS-GBM,4,1
3,1e27cc8a-5394-4958-9af6-5ece1fe24516,CNS-GBM,5,1
5,2c71d542-1653-4d97-8752-f2fd05c7e75d,CNS-GBM,2,1
6,2ce48f01-2f61-49d9-a56a-7438bf4a37d7,CNS-GBM,3,1
7,2fdab641-d73b-4f9a-aa4c-c1944f131a69,CNS-GBM,4,1
8,374cbd87-428e-4509-85c1-b7d3302c30a0,CNS-GBM,5,1
10,39520be3-a2af-4189-acf4-9d239363333a,CNS-GBM,2,1
11,41d50a3c-49fc-4d8a-9c25-bbbcd3a5da6f,CNS-GBM,3,1
12,4a1ad661-f6ae-44e8-b50b-72ff658ff22b,CNS-GBM,4,1
13,4d7f2c74-862b-4aad-98e1-fa831f14a905,CNS-GBM,5,1
15,56ffaa35-814c-4c0b-b3c6-d4514d34fec2,CNS-GBM,2,1
16,5fd77ba9-5015-4d8b-86a0-582e5c76bdd6,CNS-GBM,3,1
17,65723119-bdfe-46f0-b629-c171023abd71,CNS-GBM,4,1
18,6de41ac1-229b-40b9-a494-5588c284351d,CNS-GBM,5,1
20,7cae6c0b-36fe-411b-bbba-093a4c846d84,CNS-GBM,2,1
21,82d7fa2d-19cd-41b7-8ed1-ea9fb9a544c6,CNS-GBM,3,1
22,841eb82b-347d-4d7f-805f-3f3701a2983d,CNS-GBM,4,1
23,914421d2-898e-433e-bb66-b1710eaae2c7,CNS-GBM,5,1
25,96ef40c3-8d4c-4fe1-a33a-99f5b205a0bb,CNS-GBM,2,1
26,9880c3c9-5685-42a7-8fe9-7585ea1a1d37,CNS-GBM,3,1
27,a6957d15-453c-4f3b-ab8c-c38054dfe548,CNS-GBM,4,1
28,a8f86b64-914c-4d89-897b-33bcdd1759f7,CNS-GBM,5,1
30,b2d17671-d2e1-4c97-8b01-a976d5abe1d6,CNS-GBM,2,1
31,b60392fb-43d9-4c9c-b91b-ded40492e61c,CNS-GBM,3,1
32,b8151614-b08f-49a3-ab6f-2e780f765a17,CNS-GBM,4,1
33,c065761d-f775-457f-bda0-4c7c257a701e,CNS-GBM,5,1
35,d1132127-1250-43af-9c16-425798a3d1a7,CNS-GBM,2,1
36,d60f54f5-b154-42c4-99fb-cea4e7a33dc7,CNS-GBM,3,1
37,eab71331-53d3-4cf5-96c9-5121a3962c27,CNS-GBM,4,1
38,ece0f3a4-a204-4c52-bb1f-88d44a875b2e,CNS-GBM,5,1
40,fca08ee9-b480-4dc7-be56-f1eb03b56f7c,CNS-GBM,2,1
0,7dddd413-d2c6-4f75-bbf6-3b202877546e,CNS-Medullo,3,1
1,f8d89ae2-2c7d-40ae-8d40-34b93b16efc9,CNS-Medullo,4,1
2,031962d6-fc7d-4c6c-9d47-ffa45997b249,CNS-Medullo,5,1
4,04b9837e-9ab5-4eb9-9a9c-ef49e3a62662,CNS-Medullo,2,1
5,0609b182-0396-4755-b463-10f949c5b8bb,CNS-Medullo,3,1
6,0624eb1d-3aff-4037-a3c5-fc363a9edd02,CNS-Medullo,4,1
7,0ba8f2e2-935a-4123-86aa-6e7f5de85bf4,CNS-Medullo,5,1
9,0e1e628b-823a-4861-aa95-bed2fada7349,CNS-Medullo,2,1
10,12ae2ba1-9484-47fe-8a3f-bba94a6abe0c,CNS-Medullo,3,1
11,12d7121a-0345-4808-a819-09d6e3227bd5,CNS-Medullo,4,1
12,13446fc4-9fa6-4bb3-a00a-b9265b41eb12,CNS-Medullo,5,1
14,147e3496-514e-4da7-be42-7cd9be78ed04,CNS-Medullo,2,1
15,14f41457-25c3-4979-8515-4f33322039a5,CNS-Medullo,3,1
16,18f9240e-7acd-41eb-a154-c2a67a1cbe9b,CNS-Medullo,4,1
17,19aa8223-ee84-4b5c-b11a-6ca2a2680b3c,CNS-Medullo,5,1
19,1bd74f92-47f6-427e-af6f-299c3a7fe023,CNS-Medullo,2,1
20,1bea3a72-3b73-4072-a6bb-96a90119d3ac,CNS-Medullo,3,1
21,1f8d8720-30ca-4057-90f7-a34b8383eafe,CNS-Medullo,4,1
22,2009e5e7-1796-445b-8677-46b3804fe0bf,CNS-Medullo,5,1
24,2321c412-7730-4694-bc8f-199d7e51a7f8,CNS-Medullo,2,1
25,27847313-3b1e-47f2-84f1-acadaf265cf3,CNS-Medullo,3,1
26,2abe2e53-ad9b-4fbc-b9a7-93444f1bea87,CNS-Medullo,4,1
27,30376989-7edb-4863-9496-1789eccef8c4,CNS-Medullo,5,1
29,324adcfa-3fba-45b9-99f0-9d41c0c54d79,CNS-Medullo,2,1
30,32a63b4f-3baa-4987-ad30-5bd0c0548088,CNS-Medullo,3,1
31,34b0c838-bf6c-4d0f-8cd2-d2928adbb539,CNS-Medullo,4,1
32,35b951c0-edb0-47c4-9076-ede346ea7cb1,CNS-Medullo,5,1
34,391a949d-217a-472c-a6d4-80e548039684,CNS-Medullo,2,1
35,3b399659-8302-428a-9c97-1e7b455c9c2f,CNS-Medullo,3,1
36,3e1180a5-149c-4e6c-9a29-696e3ba567e3,CNS-Medullo,4,1
37,3f3aff50-d71b-44af-85d4-f81e813ea420,CNS-Medullo,5,1
39,45614404-2149-4468-848c-0796e3757d62,CNS-Medullo,2,1
40,48fadd0f-6561-4294-bff4-d5e4f7dfe79f,CNS-Medullo,3,1
41,492694a7-bb41-4128-a909-c424e7fc0c9e,CNS-Medullo,4,1
42,49fa7e44-c86f-4b1f-8849-e5fe5b9de734,CNS-Medullo,5,1
44,4c3f733d-5fd5-4f67-af5f-8c36c5b37be2,CNS-Medullo,2,1
45,4d121008-0987-4142-a2b8-7dac58f3110a,CNS-Medullo,3,1
46,4d690424-b015-46ae-885d-aa6d9031f66f,CNS-Medullo,4,1
47,4d6bb438-86f0-4414-962f-2b1cebee4524,CNS-Medullo,5,1
49,4e361622-f9a8-4e9b-a89e-19bafebe1d6a,CNS-Medullo,2,1
50,4f3c2c94-fa7f-4945-9dff-e4d4dac95f56,CNS-Medullo,3,1
51,518d6c1b-8234-40be-9560-6d383d5866fa,CNS-Medullo,4,1
52,51dd1a39-7349-442c-b7e1-7850fb800569,CNS-Medullo,5,1
54,571ce258-b453-4cac-b05e-05755791be84,CNS-Medullo,2,1
55,573ee34b-43a7-40d8-95ee-0ced4b46a7c8,CNS-Medullo,3,1
56,589daa3f-0b76-4c9c-b494-048955e36052,CNS-Medullo,4,1
57,59bfcb53-91c1-4dce-856a-f4afc8fa6224,CNS-Medullo,5,1
59,5ab6a1d3-76f8-45d4-a430-d9831daa9ec4,CNS-Medullo,2,1
60,5beafbbb-4613-4bab-977a-11c865e13a84,CNS-Medullo,3,1
61,5c775f90-83d4-4c1e-88c2-4e1ed1daa96f,CNS-Medullo,4,1
62,5cbd429f-ffab-41ad-8016-422f1c922e99,CNS-Medullo,5,1
64,5f096d7b-a1ea-4cc2-af73-10108089ae84,CNS-Medullo,2,1
65,5fa88c3a-dbc1-43f2-82b2-e0592f35ce57,CNS-Medullo,3,1
66,637208b2-d8b6-45a3-a389-6f34db18fea4,CNS-Medullo,4,1
67,6551ec26-4166-4d4f-bee2-444ea2466978,CNS-Medullo,5,1
69,6c642c0b-4dd0-406c-ac68-ea376802d61b,CNS-Medullo,2,1
70,6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea,CNS-Medullo,3,1
71,6d3d5531-16b4-46ec-bd7e-394946855d62,CNS-Medullo,4,1
72,706a1085-5994-4d04-b56b-d301c9ed5afa,CNS-Medullo,5,1
74,72b62805-76f9-476a-b876-a781e69a2c90,CNS-Medullo,2,1
75,75e1bdbc-474e-4367-9b4a-963b31f3b297,CNS-Medullo,3,1
76,7bd4d5e2-69ee-4264-93e4-2ba01418c460,CNS-Medullo,4,1
77,7f22b0f7-4040-4c84-939e-894c3050ef5d,CNS-Medullo,5,1
79,868c95ad-45df-4f8e-9553-b7c2c5679deb,CNS-Medullo,2,1
80,86ae34f9-e16a-4593-8e55-b1296782bc1f,CNS-Medullo,3,1
81,880e6970-0131-4966-b13e-8614d33f0df7,CNS-Medullo,4,1
82,889fb525-5055-4408-a12e-17f1225c9d29,CNS-Medullo,5,1
84,8bda75a6-86b9-458e-948b-05049b4c52ce,CNS-Medullo,2,1
85,8efb116f-4ecf-4191-8ebf-90a94c1880cf,CNS-Medullo,3,1
86,906f6f1e-569d-4ce2-9273-1f305782f77f,CNS-Medullo,4,1
87,909f3c5d-89fc-419b-a654-75ac1dbb149f,CNS-Medullo,5,1
89,924bcc4a-c982-43bf-8bbb-641dc983d65e,CNS-Medullo,2,1
90,93be2990-bceb-45fd-aca5-3358d96e9d5a,CNS-Medullo,3,1
91,96e62134-b8cc-4931-9c99-1193448c7c93,CNS-Medullo,4,1
92,97f451e5-a1cc-4f29-8318-0e6ae74efe2f,CNS-Medullo,5,1
94,9beb4126-0112-4c06-80a3-e5dd1c2b88d5,CNS-Medullo,2,1
95,a2a4021e-1273-4c18-907c-d20454ab898c,CNS-Medullo,3,1
96,a65bcd07-c47d-4bda-a2bf-21f68cef2f3b,CNS-Medullo,4,1
97,aa018d90-5250-4313-9f7c-a3f196765e07,CNS-Medullo,5,1
99,aa5907cb-3be3-4e23-982d-719417baeb37,CNS-Medullo,2,1
100,ac1bd179-8285-468c-ab9f-7f91151ca0f2,CNS-Medullo,3,1
101,aca4d810-9540-4ce3-8ceb-72d396c9b704,CNS-Medullo,4,1
102,ae464652-2f8c-4d94-8b08-cd8f1d29256e,CNS-Medullo,5,1
104,b061cb06-e927-4f24-82bb-9e651f7ae0e3,CNS-Medullo,2,1
105,b0d1fde4-928f-4f4c-bff6-33b885582bb5,CNS-Medullo,3,1
106,b16780b0-75ba-4304-87e0-33f1e321b622,CNS-Medullo,4,1
107,b64173fc-abac-4695-902b-f0acf9444e9f,CNS-Medullo,5,1
109,b86678f3-c9cf-4ba4-8248-3efb2a7c4884,CNS-Medullo,2,1
110,ba5667da-7688-4931-bdb7-d65f391caf60,CNS-Medullo,3,1
111,bd1ce02b-bfaf-4cde-aaac-06097a12e248,CNS-Medullo,4,1
112,bdc039d6-4817-4e6f-b8c6-a40b1e8e1a06,CNS-Medullo,5,1
114,c20cb5c8-a6d0-4150-b72b-3f7e8909d72b,CNS-Medullo,2,1
115,c4c776f8-ee3f-4cce-beb9-8dcf262cdcdf,CNS-Medullo,3,1
116,c59188a8-c6bb-433c-97fe-69f79a126d03,CNS-Medullo,4,1
117,c6224ab0-74f5-4f0a-9fe0-c083f806c853,CNS-Medullo,5,1
119,cb56e4c2-2fff-4f09-be34-fbdaa3794b35,CNS-Medullo,2,1
120,cb89cea8-f78e-4024-97c2-8f24debee1bc,CNS-Medullo,3,1
121,cc39b534-5ba1-4ea0-956b-676f6732beec,CNS-Medullo,4,1
122,cc69fe94-0ecf-45ad-a03f-8fb7198e8657,CNS-Medullo,5,1
124,cd2a045b-fbde-49c6-8be6-c0e3ecee246f,CNS-Medullo,2,1
125,cdc672cc-35df-4f10-88f1-d3e40dabf601,CNS-Medullo,3,1
